skier_id,fname,lname,dob,height,weight,ability_level
155,Klarika,McCorry,1948-08-06,64,214,1
156,Willie,Sayburn,1949-10-11,70,215,1
157,Libbi,Bramich,2014-05-15,45,78,1
158,Alistair,Stubbington,1964-02-29,74,224,2
159,Cal,Golling,1988-02-17,64,239,1
160,Odilia,Effemy,1969-06-02,74,187,1
161,Josie,Massingberd,1990-09-10,84,250,1
162,Welbie,Dikles,1999-03-15,78,180,1
163,Freida,Coton,1971-01-10,69,246,2
164,Wit,Posnette,1968-05-09,67,235,3
165,Karleen,Petrelli,1941-09-23,73,185,3
166,Sandro,Hartridge,1948-08-06,81,222,2
167,Denny,Stonard,1999-06-14,72,187,1
168,Decca,Iacivelli,1968-09-13,67,223,2
169,Matteo,Streather,1973-10-04,83,209,1
170,Ethyl,Featherstone,1991-05-16,65,238,1
171,Kayla,Cuxon,1940-02-03,65,194,1
172,Chickie,Strafford,1976-06-30,79,181,1
173,Kasper,Mathevet,1995-08-30,67,186,1
174,Danya,Jacobovitz,1976-10-22,70,248,3
175,Paquito,Scholte,1980-07-21,72,226,3
176,Trever,MacKean,1989-04-10,76,180,3
177,Anatol,Fendlow,2006-07-09,61,227,1
178,Sergio,Ferrao,1992-04-13,81,227,1
179,Amandi,O'Grada,1988-02-11,72,248,2
180,Dell,Tatem,1955-01-15,80,248,3
181,Janet,Faas,1959-06-04,80,220,3
182,Arron,Bondar,1974-03-17,60,246,1
183,Codee,McAlester,1977-03-11,81,245,3
184,Jermain,Edmundson,1997-11-02,69,243,1
185,Jasmina,Varnham,1961-02-07,67,198,1
186,Sigmund,Sedge,2013-06-14,57,109,1
187,Cherish,Schreurs,1956-01-19,74,248,3
188,Curcio,Regina,1979-07-31,78,244,3
189,Silvana,Blagden,2005-03-08,76,196,1
190,Sherye,Phelips,1948-05-19,68,215,3
191,Hy,Brundle,1995-06-04,83,185,2
192,Beatrisa,Stace,1987-09-02,72,226,3
193,Gradey,Edden,1996-02-24,81,222,2
194,Myrtie,Dorie,1977-02-10,64,183,3
195,Nollie,Smoth,1985-07-25,80,226,2
196,Rikki,Bleakley,1953-05-02,60,203,3
197,Fan,Slowey,1967-09-20,83,233,2
198,Oren,Courtonne,1948-03-21,63,238,2
199,Jodi,Chessun,1952-07-20,61,184,2
200,Lombard,Eginton,1969-08-20,61,188,2
201,Neill,Cesaric,1963-12-12,73,180,1
202,Barbette,Crossdale,1966-06-18,61,216,1
203,Harv,Paladino,2004-02-08,84,180,3
204,Sergeant,Revey,2008-07-04,51,110,1
205,Moss,Ludy,1972-07-10,63,250,2
206,Timmie,Rayhill,1984-07-30,76,184,2
207,Petronille,Yanyushkin,1949-12-28,72,204,3
208,Mychal,Padbery,2001-11-09,71,198,2
209,Alford,Larder,1985-02-14,79,182,3
210,Ronald,Husher,1959-06-11,77,226,3
211,Shel,Riceards,1954-11-17,60,183,2
212,Aida,Zahor,1953-05-27,78,219,3
213,Dyana,Thieme,1965-06-16,71,207,1
214,Andie,Higgonet,2008-01-26,53,147,1
215,Abner,Tuck,1969-01-19,60,224,3
216,Sollie,Burnip,2013-04-11,56,146,1
217,Ferrell,McCritchie,1956-01-27,73,239,2
218,Meyer,Grishankov,1963-05-11,70,248,2
219,Lolita,Pollack,1960-11-14,82,205,2
220,Bruno,Stoyell,1954-09-19,70,228,1
221,Lew,Hallwood,1972-01-04,64,233,3
222,Adrianna,Prinett,1965-12-17,81,232,1
223,Sal,Pass,1966-05-05,73,195,3
224,Cordell,Jex,1974-03-31,64,221,2
225,Loreen,Billinge,1974-01-13,75,240,2
226,Florence,Guttridge,1984-06-07,77,212,3
227,Maisey,Lyttle,1974-05-27,80,226,2
228,Sydney,Padula,1990-08-19,67,230,1
229,Dode,Heister,1946-12-05,63,210,3
230,Herby,Cromblehome,1996-12-13,61,232,1
231,Krystyna,Samwyse,2014-06-26,57,160,1
232,Gardiner,Fanthome,1995-02-26,77,226,1
233,Antonetta,Perillio,1991-07-04,72,186,3
234,Beaufort,Gaywood,1984-12-30,75,206,1
235,Papagena,Clineck,1965-09-14,60,227,3
236,Quinlan,Downs,1985-10-01,62,224,1
237,Brig,Oakenford,1947-06-16,81,245,2
238,Baryram,MacAlinden,1948-03-23,82,244,3
239,Melosa,Escudier,1981-04-08,68,188,2
240,Kissee,Meese,1944-07-03,60,204,1
241,Lulita,Ferson,2001-05-23,80,182,3
242,Conn,Kellock,2006-10-15,73,197,1
243,Christiane,Rosie,1945-03-17,63,241,2
244,Gerrard,Asman,1954-07-30,63,183,2
245,Alvie,Denman,1994-07-13,62,221,2
246,Loleta,Riceards,1941-04-22,64,229,3
247,Nickolai,Maydway,1943-07-10,65,224,2
248,Bette,Wahner,2007-10-24,80,225,1
249,Webster,Mumbray,1942-09-24,84,244,2
250,Katy,Brace,1985-09-20,66,220,1
251,Ivett,Sissot,1984-07-16,60,200,1
252,Cherish,Fitzsimon,1973-05-26,76,192,3
253,Guillemette,Keyhoe,1944-09-07,78,241,1
254,Lenna,McQuade,1953-01-20,63,236,3
255,Lyn,Soot,1978-02-11,63,204,3
256,Tawsha,Kreuzer,1960-06-29,60,215,1
257,Jonathan,Stanlock,1940-05-08,80,196,3
258,Bryanty,Wilbor,2009-11-14,48,70,1
259,Hayyim,Sumsion,1954-07-08,78,220,1
260,Bert,Monday,2010-01-25,57,115,1
261,Kiri,Dundredge,1959-03-07,62,190,1
262,Sibyl,Durant,1987-07-24,62,192,1
263,Sacha,Rosenfrucht,1969-09-21,74,210,3
264,Kennith,Jeavons,1954-06-14,64,199,3
265,Saunders,Gowing,1997-09-19,61,233,2
266,Joan,McAllester,1997-08-29,69,212,1
267,Dorey,Bockett,1957-05-17,61,183,2
268,Cyril,Glackin,2011-03-20,58,107,1
269,Lily,McGunley,1964-01-10,64,226,2
270,Sigismund,Tutill,1972-06-24,60,218,2
271,Morgen,Batecok,1967-08-24,76,202,2
272,Audrye,Aspel,2003-04-22,61,189,2
273,Renado,Auletta,2000-06-01,80,235,3
274,Gustaf,Cuthill,1980-11-26,73,194,3
275,Arther,Rabley,1958-02-24,66,244,3
276,Tymothy,Jarmaine,2007-10-22,71,233,2
277,Gilli,Clynter,1941-04-25,67,203,2
278,Derry,Silvester,1975-07-30,65,231,2
279,Dominica,Hekkert,1993-09-23,78,222,3
280,Clareta,Towe,2006-12-26,84,194,3
281,Frederik,Thomen,1950-09-03,62,237,3
282,Tiffie,Scutchings,1953-11-17,83,202,2
283,Dotty,Gynni,1957-11-01,80,238,3
284,Gamaliel,Trappe,2003-07-27,78,230,1
285,Bryna,Thorington,2003-12-26,84,218,3
286,Corella,Scryne,1997-11-21,76,214,2
287,Verine,Tuff,1948-07-08,64,184,3
288,Lorine,Stirrup,1993-09-02,77,248,3
289,Lelah,Pitcock,1947-05-21,74,221,2
290,Martainn,Backe,1991-03-18,76,250,2
291,Broddie,Sherr,1957-05-23,63,213,2
292,Phedra,Cuncliffe,1976-08-25,69,184,1
293,Arni,Barden,2014-12-13,50,136,1
294,Bellanca,Hodgets,2005-01-06,77,219,3
295,Caesar,Ellison,1988-03-18,74,233,3
296,Orazio,Chater,1957-06-08,80,191,1
297,Matelda,Hardison,1954-03-14,73,243,1
298,Vina,Warhurst,1979-01-23,81,202,3
299,Graeme,Glasard,1941-04-11,63,219,1
300,Case,Thorouggood,1967-06-07,78,204,3
301,Thane,Boothebie,1977-04-23,71,225,1
302,Nata,Probart,1987-01-28,65,250,3
303,De,Arntzen,1955-02-13,84,187,2
304,Robb,Stampe,1971-06-13,82,221,3
305,Roslyn,Beadel,1952-09-25,69,198,2
306,Krysta,Slowan,1951-02-15,63,195,2
307,Aluino,Skase,1958-09-11,68,223,2
308,Frank,Reiner,2008-12-17,47,69,1
309,Lexis,Ricson,2005-02-09,69,210,1
310,Travis,Vacher,2002-05-22,79,209,2
311,Hyman,O' Reagan,2010-10-19,43,95,1
312,Nissie,Autrie,1960-07-06,78,245,2
313,Karyn,Headley,1998-08-24,69,202,2
314,Nert,Heffron,1953-06-29,63,184,3
315,Westbrook,Jakubovsky,1978-04-22,71,237,3
316,Thorvald,Pomery,1966-08-14,74,240,1
317,Codi,Macias,1953-03-30,69,237,2
318,Jabez,Bellows,2002-06-04,64,222,2
319,Kylie,Lawrenceson,1953-11-03,83,193,3
320,Sibilla,Worsfold,1971-04-10,79,213,3
321,Waylan,Haffard,1960-12-19,61,231,2
322,Freddy,Emptage,1969-05-22,77,198,2
323,Ugo,Carsberg,2011-08-13,49,62,1
324,Mireille,Davidi,1943-03-05,76,201,1
325,Chalmers,Aleswell,1962-09-09,82,219,1
326,Clarabelle,Vogelein,2002-07-16,66,188,2
327,Golda,Coley,1961-09-25,70,205,2
328,Jolyn,Elson,2002-03-05,76,248,3
329,Harri,Wintringham,1987-06-02,60,237,3
330,Anatol,Pechold,1953-02-23,62,237,3
331,Lew,Fideler,2000-12-21,65,206,1
332,Cori,Lisamore,1944-01-31,73,215,3
333,Gaylor,Waymont,1959-03-01,61,231,1
334,Caralie,Stuttman,2006-11-10,69,206,1
335,Skipton,Seabrook,1963-05-10,63,216,2
336,Krystalle,Ceaplen,1975-11-04,79,220,1
337,Jacquelyn,Mateo,1951-11-23,83,221,1
338,Talia,Isitt,1993-11-19,65,186,2
339,Verna,Biasetti,2011-02-24,57,126,1
340,Barrie,Glading,1968-08-20,69,201,2
341,Pat,Bloschke,1941-08-07,82,193,1
342,Christalle,Lakeman,1971-05-26,67,181,3
343,Townsend,Yule,1953-09-14,79,187,2
344,Inesita,Caen,1979-01-18,64,227,2
345,Wylie,Lorrain,1993-07-03,83,206,1
346,Lannie,Enevold,1993-09-26,71,235,2
347,Daron,Bowater,1941-11-04,64,186,2
348,Elise,Gracewood,1976-01-03,81,192,3
349,Saunderson,Pavy,2011-03-01,45,96,1
350,Blane,Portsmouth,1965-03-26,61,233,1
351,Barron,Birt,2011-11-09,45,66,1
352,Nathanil,Minocchi,1945-07-29,70,240,3
353,Sydney,Cassella,1986-10-06,79,188,2
354,Yovonnda,MacPaden,1983-07-09,62,219,3
355,Haywood,Yglesia,1997-05-04,62,197,2
356,Diandra,Turnor,1956-08-08,63,204,2
357,Magda,Assur,1957-11-08,72,222,1
358,Selinda,Theis,1953-01-21,71,212,1
359,Margery,Canada,1991-02-09,79,214,2
360,Alane,Treves,1994-09-08,68,247,2
361,Olwen,Durrance,1998-09-24,78,227,1
362,Orion,Dooley,1969-03-21,66,204,1
363,Naomi,Vant,1980-05-22,81,232,3
364,Flinn,Pregal,1979-11-30,60,191,3
365,Trixy,Burrett,1949-01-26,79,203,3
366,Mattie,Tyas,2010-12-30,57,121,1
367,Ardyce,Tinston,2006-03-10,78,204,2
368,Lita,Eunson,1954-03-03,71,238,1
369,Cheston,Guille,1967-11-06,81,244,3
370,Carita,Kinder,1954-08-25,76,181,1
371,Oralla,Steljes,1983-05-16,70,191,3
372,Ambros,Geraldez,1973-01-02,65,235,3
373,Fernando,Brobak,1992-11-18,82,210,2
374,Bryce,Mariolle,1945-07-31,80,186,3
375,Beatrisa,Beavon,1955-08-17,67,223,1
376,Jenni,Bate,1960-12-22,83,196,2
377,Heloise,Thickpenny,2004-02-02,75,200,2
378,Chariot,Pea,1985-04-28,73,236,2
379,Damiano,Dadge,1980-12-22,72,208,3
380,Toby,Fouracres,2002-06-25,81,240,1
381,Maggee,Conkie,1969-06-15,67,193,3
382,Phedra,Wall,1963-08-13,72,223,2
383,Tandi,Hans,1948-02-20,70,238,2
384,Juliane,Tegeller,2002-12-30,71,219,1
385,Pepita,Castagnone,1952-08-29,66,210,3
386,Corrianne,D'Angeli,1988-08-24,72,235,1
387,Mia,Start,2008-02-27,56,189,1
388,Mariam,Grishagin,1995-02-24,73,212,2
389,Konstantine,Copper,2003-10-09,78,224,2
390,Maure,Scones,1994-02-01,66,245,3
391,Nikki,Hrachovec,2005-12-05,69,213,3
392,Lissie,Embery,1955-12-03,64,237,3
393,Burk,Harcombe,2007-05-28,73,242,3
394,Suzie,Furnell,1971-04-30,75,180,2
395,Truda,Braidwood,1978-03-15,78,248,2
396,Ezmeralda,Wybrow,1948-01-10,84,188,2
397,Bone,Redpath,1959-05-01,82,235,3
398,Lynette,Pilgram,1958-03-22,63,198,2
399,Diandra,Paradis,1975-01-27,80,229,1
400,Finn,Megahey,1986-02-21,80,216,3
401,Reginald,Braunlein,1961-03-17,63,190,2
402,La verne,Koppen,1994-09-02,78,223,3
403,Wilmer,d' Eye,2005-09-12,74,237,1
404,Elwin,Camellini,1978-03-02,81,202,1
405,Ritchie,Ivashkin,1944-08-26,68,240,2
406,Ira,Tapsfield,1940-02-25,74,226,2
407,Dorena,Mum,1957-12-12,62,183,1
408,Mary,Lucius,1977-05-16,64,223,3
409,Salvador,Dorkens,1949-09-15,62,191,2
410,Leann,Fynan,1976-02-19,80,183,2
411,Avery,Cliffe,2007-05-26,69,213,2
412,Orly,Parbrook,1948-10-20,67,248,1
413,Ronald,Bullick,1966-07-06,60,197,1
414,Andy,Martinat,2008-11-20,56,115,1
415,Lucienne,Geratasch,2009-07-04,49,96,1
416,Terri,Jeannot,1990-09-30,79,224,3
417,Nonnah,Breward,1975-10-13,70,221,3
418,Clayborn,Avramovitz,1972-10-09,62,234,2
419,Micheline,Oxtaby,1974-01-22,81,225,3
420,Giralda,Wickie,2011-03-23,40,87,1
421,Ario,Keslake,1987-10-10,76,221,1
422,Ruby,Swine,1958-03-27,81,202,1
423,Frayda,Paolillo,1992-09-26,63,250,2
424,Wenona,Eckh,1977-12-15,67,216,2
425,Lilly,Preshaw,1975-06-14,74,226,2
426,Dolf,Luscott,1985-12-25,72,225,3
427,Yuri,Shermar,1982-04-29,80,234,1
428,Abran,Tiptaft,1968-01-21,70,217,1
429,Carmine,De Gregoli,2002-02-09,64,223,1
430,Iver,Wainscot,1992-07-17,63,187,3
431,Emmett,Wolfers,2000-03-15,60,234,1
432,Dag,Danielian,1977-10-31,77,212,3
433,Milton,Blackburne,2010-09-14,56,175,1
434,Gothart,Frenzel;,2011-09-28,47,89,1
435,Paulette,Poppy,1954-02-12,82,188,3
436,Ermentrude,Gilleon,1965-05-28,62,231,1
437,Delmar,Allwright,1951-02-11,65,243,2
438,Olly,Stovell,1992-07-03,69,224,2
439,Chandal,Zorzenoni,1948-04-13,80,233,2
440,Lorianne,McKinstry,1947-01-24,84,242,2
441,Latrena,Janatka,1991-09-12,78,199,2
442,Kenon,Betz,2010-09-08,54,144,1
443,Cynde,Kubasiewicz,1965-03-06,60,214,2
444,Joni,Mouncher,2004-09-19,61,209,2
445,Gwenette,Scipsey,1965-10-29,66,218,3
446,Napoleon,Clews,1948-03-24,67,203,3
447,Abner,Angerstein,1992-03-04,75,207,2
448,Katinka,Petricek,1947-07-17,83,194,2
449,Leon,De la Harpe,1957-01-02,70,184,1
450,Sumner,Bugge,1951-07-03,68,215,3
451,Jasmina,Denver,2007-10-09,74,216,1
452,Hermie,Grishankov,2004-11-28,74,206,3
453,Burt,Crittal,1984-09-03,80,223,2
454,Dasi,Adams,1974-03-01,69,193,1
455,Cristen,Moncreif,1973-01-06,60,212,1
456,Ardra,Burrill,1982-03-15,78,207,2
457,Niki,Jilliss,1985-01-08,78,196,3
458,Nariko,Bachs,1955-03-27,71,209,1
459,Ricard,Staining,1945-05-18,64,244,1
460,Leoline,Milington,1985-08-18,64,242,1
461,Franni,Coleridge,1983-02-22,83,244,2
462,Buiron,Shyres,2002-10-31,66,207,3
463,Lucita,Bewshaw,2004-05-01,60,204,2
464,Inez,Bediss,1992-02-12,82,232,3
465,Giustino,Thurlow,1976-09-28,71,243,3
466,Orella,Kidstone,1957-04-03,63,235,1
467,Jilli,Adamowitz,2008-09-30,44,97,1
468,Danit,Keeping,1976-09-05,82,201,2
469,Corilla,Keddy,1994-02-01,77,202,1
470,Kristoffer,Thoumasson,1968-09-12,68,226,3
471,Corrine,Simpole,1954-10-11,84,244,2
472,Spike,Vynoll,1973-09-28,72,230,3
473,Dillon,Ivashinnikov,1980-02-11,79,200,1
474,Augie,Vaneev,1951-04-23,80,233,3
475,Rem,Ricardot,1998-12-27,68,228,3
476,Hanni,Hymers,1980-04-02,62,242,2
477,Hersch,Crossthwaite,1973-10-31,60,200,1
478,Minny,Larkby,1964-05-27,60,240,1
479,Randie,Finn,1975-06-15,83,204,3
480,Gertruda,Tumpane,2008-04-23,56,101,1
481,Wilden,Bartalini,2007-04-14,67,199,3
482,Mar,Sandwick,1965-12-09,60,201,2
483,Gordie,Tranckle,1987-07-17,72,249,1
484,Moshe,Djokovic,1948-12-25,77,187,2
485,Aubrette,Segot,1990-04-30,84,238,3
486,Stephie,Breeze,1942-03-28,80,182,2
487,Jewell,Bussy,1948-05-02,63,228,1
488,Bondon,Oleksinski,1948-01-24,67,231,2
489,Lura,Winser,2003-08-23,83,210,1
490,Augustina,Calliss,1984-09-08,64,223,3
491,Andras,Monte,1969-01-07,61,219,3
492,Robenia,Antliff,1960-03-24,73,221,1
493,Dorian,Guidelli,1995-03-26,62,210,1
494,Jenda,Widdup,1998-01-07,77,206,1
495,Silvano,Eicke,2009-08-30,45,96,1
496,Orelia,Russan,1956-02-24,75,242,3
497,Sile,Rosone,1975-05-02,61,232,3
498,Christos,Hussell,2014-10-14,55,107,1
499,Lawry,Mushawe,1958-12-01,64,248,2
500,Christoffer,Morcomb,1994-12-13,81,222,2
